application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
ANDA204821,ANDA,PRINSTON INC,VALSARTAN,VALSARTAN,"Solco Healthcare US, LLC",Prescription,Angiotensin 2 Receptor Blocker [EPC],,Angiotensin 2 Receptor Antagonists [MoA],AP,SUPPL,STANDARD,2025,20250508,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,VALSARTAN,349199,80M03YXJ7I
ANDA214310,ANDA,SANDOZ,ERIBULIN MESYLATE,ERIBULIN MESYLATE,Sandoz Inc,Prescription,,,,AP,ORIG,STANDARD,2025,20250609,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,ERIBULIN MESYLATE,1045456,AV9U0660CW
NDA018074,NDA,ACERTIS PHARMS,PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE,"Acertis Pharmaceuticals, LLC",Prescription,,,,AP,SUPPL,STANDARD,1998,19980923,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, EXTENDED RELEASE",PHENDIMETRAZINE TARTRATE,979543,6985IP0T80
ANDA213239,ANDA,HIKMA,DEFERIPRONE,DEFERIPRONE,Hikma Pharmaceuticals USA Inc.,Prescription,Iron Chelator [EPC],,Iron Chelating Activity [MoA],AP,SUPPL,STANDARD,2025,20250815,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,DEFERIPRONE,389242,2BTY8KH53L
ANDA065319,ANDA,CHARTWELL RX,AMOXICILLIN,AMOXICILLIN,"Chartwell RX, LLC",Prescription,,,,AP,SUPPL,STANDARD,2021,20210114,HUMAN PRESCRIPTION DRUG,ORAL,FOR SUSPENSION,AMOXICILLIN,308189,804826J2HU
ANDA218429,ANDA,SABA ILAC SANAYI,ARFORMOTEROL TARTRATE INHALATION,ARFORMOTEROL TARTRATE INHALATION,"Devatis, Inc.",Prescription,,,,AP,ORIG,STANDARD,2025,20250425,HUMAN PRESCRIPTION DRUG,INHALATION,SOLUTION,ARFORMOTEROL TARTRATE,668956,5P8VJ2I235
ANDA073085,ANDA,COSETTE,FLUOCINONIDE,FLUOCINONIDE,"Cosette Pharmaceuticals, Inc.",Prescription,Corticosteroid [EPC],,Corticosteroid Hormone Receptor Agonists [MoA],AP,SUPPL,,2001,20010705,HUMAN PRESCRIPTION DRUG,TOPICAL,CREAM,FLUOCINONIDE,103456,2W4A77YPAN
ANDA215860,ANDA,MEITHEAL,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,Northstar Rx LLC,Prescription,,,,AP,SUPPL,STANDARD,2023,20231101,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,INJECTABLE,PANTOPRAZOLE SODIUM,283669,6871619Q5X
NDA215331,NDA,MAIA PHARMS INC,BORTEZOMIB,BORTEZOMIB,"MAIA Pharmaceuticals, Inc.",Discontinued,Proteasome Inhibitor [EPC],,Proteasome Inhibitors [MoA],AP,ORIG,STANDARD,2022,20220727,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,BORTEZOMIB,2608948,69G8BD63PP
ANDA075951,ANDA,BARR,NORETHINDRONE ACETATE,NORETHINDRONE ACETATE,"Teva Pharmaceuticals USA, Inc.",Prescription,,,,AP,ORIG,,2001,20010525,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,NORETHINDRONE ACETATE,1000405,9S44LIC7OJ
NDA022408,NDA,CIPHER,SPINOSAD,NATROBA,Cipher Pharmaceuticals Inc.,Prescription,Pediculicide [EPC],,,AP,SUPPL,STANDARD,2021,20210428,HUMAN PRESCRIPTION DRUG,TOPICAL,SUSPENSION,SPINOSAD,1085816,XPA88EAP6V
ANDA210307,ANDA,LUPIN LTD,HYDROCORTISONE VALERATE,HYDROCORTISONE VALERATE,"Lupin Pharmaceuticals, Inc.",Prescription,,,,AP,ORIG,STANDARD,2019,20190815,HUMAN PRESCRIPTION DRUG,TOPICAL,CREAM,HYDROCORTISONE VALERATE,1370754,68717P8FUZ
NDA208215,NDA,GILEAD SCIENCES INC,EMTRICITABINE AND TENOFOVIR ALAFENAMIDE,DESCOVY,"Gilead Sciences, Inc.",Prescription,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleosides [CS],Nucleoside Reverse Transcriptase Inhibitors [MoA],AP,SUPPL,PRIORITY,2017,20170928,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,EMTRICITABINE,1747691,FWF6Q91TZO
ANDA203904,ANDA,METHODIST HOSP RES,FLUDEOXYGLUCOSE F18,FLUDEOXYGLUCOSE F18,The Methodist Hospital Research Institute,Prescription,Radioactive Diagnostic Agent [EPC],,Radiopharmaceutical Activity [MoA],AP,ORIG,,2015,20150423,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,INJECTABLE,FLUDEOXYGLUCOSE F-18,,0Z5B2CJX4D
ANDA040430,ANDA,BIONPHARMA,ETHOSUXIMIDE,ETHOSUXIMIDE,Bionpharma Inc.,Prescription,Anti-epileptic Agent [EPC],,,AP,SUPPL,,2011,20111227,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,ETHOSUXIMIDE,197682,5SEH9X1D1D
ANDA205234,ANDA,ALEMBIC,TELMISARTAN AND AMLODIPINE,TELMISARTAN AND AMLODIPINE,Alembic Pharmaceuticals Limited,Discontinued,Angiotensin 2 Receptor Blocker [EPC],,Angiotensin 2 Receptor Antagonists [MoA],AP,ORIG,STANDARD,2016,20161117,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,AMLODIPINE BESYLATE,876514,U5SYW473RQ
ANDA212587,ANDA,ANDA REPOSITORY,"OMEPRAZOLE, SODIUM BICARBONATE","OMEPRAZOLE, SODIUM BICARBONATE",Guardian Drug Company,Prescription,Proton Pump Inhibitor [EPC],,Proton Pump Inhibitors [MoA],AP,ORIG,STANDARD,2020,20200430,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,OMEPRAZOLE,616539,KG60484QX9
ANDA206098,ANDA,ALEMBIC,ASENAPINE,ASENAPINE,Alembic Pharmaceuticals Limited,Prescription,Atypical Antipsychotic [EPC],,,AP,ORIG,STANDARD,2020,20201210,HUMAN PRESCRIPTION DRUG,SUBLINGUAL,TABLET,ASENAPINE,859975,JKZ19V908O
ANDA217529,ANDA,AJANTA PHARMA LTD,FAMOTIDINE,FAMOTIDINE,Ajanta Pharma USA Inc.,Prescription,Histamine-2 Receptor Antagonist [EPC],,Histamine H2 Receptor Antagonists [MoA],AP,ORIG,STANDARD,2023,20230918,HUMAN PRESCRIPTION DRUG,ORAL,FOR SUSPENSION,FAMOTIDINE,310274,5QZO15J2Z8
BLA761339,BLA,REGENERON PHARMACEUTICALS,POZELIMAB,VEOPOZ,"Regeneron Pharmaceuticals, Inc.",Prescription,Complement Inhibitor [EPC],,Complement Inhibitors [MoA],AP,ORIG,PRIORITY,2023,20230818,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,POZELIMAB,2663945,0JJ21K6L2I
ANDA201885,ANDA,AM REGENT,TRANEXAMIC ACID,TRANEXAMIC ACID,"American Regent, Inc.",Prescription,Antifibrinolytic Agent [EPC],,,AP,SUPPL,STANDARD,2021,20210125,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,TRANEXAMIC ACID,238720,6T84R30KC1
ANDA204546,ANDA,PRECISION NUCLEAR,FLUDEOXYGLUCOSE F-18,FLUDEOXYGLUCOSE F-18,"Precision Nuclear, LLC",Prescription,Radioactive Diagnostic Agent [EPC],,Radiopharmaceutical Activity [MoA],AP,ORIG,,2015,20150407,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,INJECTABLE,FLUDEOXYGLUCOSE F-18,,0Z5B2CJX4D
ANDA207891,ANDA,SUN PHARM,OMEPRAZOLE,OMEPRAZOLE,OHM LABORATORIES INC.,Over-the-counter,Proton Pump Inhibitor [EPC],,Proton Pump Inhibitors [MoA],AP,SUPPL,STANDARD,2020,20201116,HUMAN OTC DRUG,ORAL,"TABLET, DELAYED RELEASE",OMEPRAZOLE,402014,KG60484QX9
ANDA077702,ANDA,AUROBINDO,NEVIRAPINE,NEVIRAPINE,Aurobindo Pharma Limited,Prescription,,,,AP,SUPPL,STANDARD,2019,20190821,HUMAN PRESCRIPTION DRUG,ORAL,SUSPENSION,NEVIRAPINE HEMIHYDRATE,311943,B7XF2TD73C
ANDA202696,ANDA,MACLEODS PHARMS LTD,VALSARTAN,VALSARTAN,Macleods Pharmaceuticals Limited,Prescription,Angiotensin 2 Receptor Blocker [EPC],,Angiotensin 2 Receptor Antagonists [MoA],AP,ORIG,,2016,20160916,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,VALSARTAN,349199,80M03YXJ7I
ANDA211251,ANDA,NAVINTA LLC,TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,Navinta LLC,Prescription,,,,AP,ORIG,STANDARD,2019,20190116,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,TRIENTINE HYDROCHLORIDE,313472,HC3NX54582
ANDA091586,ANDA,TRIS PHARMA INC,THEOPHYLLINE,THEOPHYLLINE,"Cranbury Pharmaceuticals, LLC",Prescription,Methylxanthine [EPC],Xanthines [CS],,AP,ORIG,,2012,20120615,HUMAN PRESCRIPTION DRUG,ORAL,SOLUTION,THEOPHYLLINE ANHYDROUS,313306,0I55128JYK
ANDA210301,ANDA,ALEMBIC,RIVAROXABAN,RIVAROXABAN,Alembic Pharmaceuticals Inc.,Prescription,Factor Xa Inhibitor [EPC],,Factor Xa Inhibitors [MoA],AP,ORIG,STANDARD,2025,20250514,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,RIVAROXABAN,1114198,9NDF7JZ4M3
ANDA206997,ANDA,ACCORD HLTHCARE,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,"Accord Healthcare, Inc.",Prescription,,,,AP,ORIG,STANDARD,2020,20200428,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, EXTENDED RELEASE",DILTIAZEM HYDROCHLORIDE,830837,OLH94387TE
ANDA210664,ANDA,ACELLA,DOXYCYCLINE HYCLATE,DOXYCYCLINE,"Acella Pharmaceuticals, LLC",Prescription,,,,AP,ORIG,STANDARD,2020,20200316,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,DOXYCYCLINE HYCLATE,1650143,19XTS3T51U
ANDA207944,ANDA,PH HEALTH,ASPIRIN AND EXTENDED - RELEASE DIPYRIDAMOLE,"ASPIRIN AND EXTENDED - RELEASE DIPYRIDAMOLE CAPSULES, 25 MG / 200 MG","Endo USA, Inc.",Prescription,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,ORIG,STANDARD,2017,20170118,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, EXTENDED RELEASE",ASPIRIN,259081,R16CO5Y76E
ANDA218494,ANDA,ZHEJIANG POLY PHARM,BRIVARACETAM,BRIVARACETAM,"Zhejiang Poly Pharm. Co., Ltd.",Prescription,,,Epoxide Hydrolase Inhibitors [MoA],AP,ORIG,STANDARD,2026,20260223,HUMAN PRESCRIPTION DRUG,ORAL,SOLUTION,BRIVARACETAM,1739785,U863JGG2IA
ANDA211313,ANDA,STRIDES PHARMA,GABAPENTIN,GABARONE,INA Pharmaceutics Inc.,Prescription,,,,AP,ORIG,STANDARD,2024,20240304,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,GABAPENTIN,476673,6CW7F3G59X
ANDA083312,ANDA,HIKMA,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,Hikma Pharmaceuticals USA Inc.,Prescription,,,,AP,SUPPL,,1992,19921030,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,PROMETHAZINE HYDROCHLORIDE,992460,R61ZEH7I1I
ANDA204605,ANDA,AMNEAL PHARMS,ACYCLOVIR,ACYCLOVIR,Amneal Pharmaceuticals LLC,Prescription,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],,DNA Polymerase Inhibitors [MoA],AP,ORIG,,2014,20140618,HUMAN PRESCRIPTION DRUG,TOPICAL,OINTMENT,ACYCLOVIR,197312,X4HES1O11F
ANDA209297,ANDA,GLENMARK SPECLT,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,HAILEY 1.5/30,"Glenmark Pharmaceuticals Inc., USA",Prescription,Estrogen [EPC],,Estrogen Receptor Agonists [MoA],AP,SUPPL,STANDARD,2023,20230823,HUMAN PRESCRIPTION DRUG,ORAL-21,TABLET,ETHINYL ESTRADIOL,1359022,423D2T571U
ANDA075091,ANDA,MYLAN,CARBIDOPA AND LEVODOPA,CARBIDOPA AND LEVODOPA,Mylan Pharmaceuticals Inc.,Prescription,Aromatic Amino Acid Decarboxylation Inhibitor [EPC],"Amino Acids, Aromatic [CS]",DOPA Decarboxylase Inhibitors [MoA],AP,SUPPL,,2000,20000204,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",CARBIDOPA,308988,MNX7R8C5VO
ANDA204406,ANDA,ACCORD HLTHCARE,TOPOTECAN,TOPOTECAN,Accord Healthcare Inc.,Prescription,Topoisomerase Inhibitor [EPC],,Topoisomerase Inhibitors [MoA],AP,ORIG,,2017,20170706,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,TOPOTECAN,637549,7M7YKX2N15
ANDA091620,ANDA,SANDOZ,TIGECYCLINE,TIGECYCLINE,Sandoz Inc,Prescription,Tetracycline-class Antibacterial [EPC],Tetracyclines [CS],,AP,SUPPL,STANDARD,2020,20200409,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,TIGECYCLINE,581531,70JE2N95KR
ANDA062286,ANDA,TEVA,DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,"Teva Pharmaceuticals USA, Inc.",Prescription,,,,AP,SUPPL,,2009,20090317,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,DICLOXACILLIN SODIUM,197595,4HZT2V9KX0
ANDA040103,ANDA,AIPING PHARM INC,BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,ScieGen Pharmaceuticals Inc,Prescription,,,,AP,SUPPL,,2002,20021112,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,BENZTROPINE MESYLATE,885209,WMJ8TL7510
ANDA214842,ANDA,EUGIA PHARMA,POSACONAZOLE,POSACONAZOLE,Eugia US LLC,Prescription,Azole Antifungal [EPC],Azoles [CS],,AP,ORIG,STANDARD,2023,20231226,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,POSACONAZOLE,1492043,6TK1G07BHZ
ANDA219773,ANDA,MANKIND PHARMA,PHENYTOIN SODIUM,EXTENDED PHENYTOIN SODIUM,Lifestar Pharma LLC,Prescription,,,,AP,ORIG,STANDARD,2026,20260102,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,PHENYTOIN SODIUM,855671,4182431BJH
ANDA090547,ANDA,MYLAN PHARMS INC,VORICONAZOLE,VORICONAZOLE,Mylan Pharmaceuticals Inc.,Prescription,Azole Antifungal [EPC],Azoles [CS],Cytochrome P450 3A4 Inhibitors [MoA],AP,SUPPL,STANDARD,2023,20230911,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,VORICONAZOLE,349434,JFU09I87TR
ANDA216922,ANDA,GLAND,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,"Fresenius Kabi USA, LLC",Prescription,,,,AP,ORIG,STANDARD,2022,20221116,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DESMOPRESSIN ACETATE,1723232,XB13HYU18U
ANDA091649,ANDA,TEVA PHARMS USA,CAPECITABINE,CAPECITABINE,"Teva Pharmaceuticals USA, Inc.",Prescription,Nucleoside Metabolic Inhibitor [EPC],,Nucleic Acid Synthesis Inhibitors [MoA],AP,SUPPL,STANDARD,2016,20160218,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,CAPECITABINE,200327,6804DJ8Z9U
ANDA090564,ANDA,GRANULES INDIA,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Granules Pharmaceuticals Inc.,Prescription,,,,AP,SUPPL,UNKNOWN,2025,20251110,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,METFORMIN HYDROCHLORIDE,861004,786Z46389E
ANDA215892,ANDA,ALEMBIC,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,Alembic Pharmaceuticals Inc.,Prescription,,,,AP,ORIG,STANDARD,2022,20221110,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,CYCLOPHOSPHAMIDE,1437968,8N3DW7272P
ANDA075232,ANDA,L PERRIGO CO,LOPERAMIDE HYDROCHLORIDE,GOOD NEIGHBOR PHARMACY ANTI DIARRHEAL,Amerisource Bergen,Over-the-counter,,,,AP,SUPPL,,2002,20021004,HUMAN OTC DRUG,ORAL,TABLET,LOPERAMIDE HYDROCHLORIDE,978010,77TI35393C
ANDA200174,ANDA,PADAGIS ISRAEL,"CALCIPOTRIENE, BETAMETHASONE DIPROPIONATE",CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,Padagis Israel Pharmaceuticals Ltd,Prescription,Vitamin D Analog [EPC],Vitamin D [CS],,AP,ORIG,,2014,20141212,HUMAN PRESCRIPTION DRUG,TOPICAL,OINTMENT,BETAMETHASONE DIPROPIONATE,388525,826Y60901U
NDA020505,NDA,JANSSEN PHARMS,TOPIRAMATE,TOPAMAX,"Janssen Pharmaceuticals, Inc.",Prescription,,,Cytochrome P450 3A4 Inducers [MoA],AP,SUPPL,STANDARD,2014,20141021,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,TOPIRAMATE,151226,0H73WJJ391
ANDA040771,ANDA,RISING,TRIAMCINOLONE ACETONIDE,KOURZEQ,MidAmerica Pharmaceuticals,Prescription,Corticosteroid [EPC],,Corticosteroid Hormone Receptor Agonists [MoA],AP,SUPPL,,2011,20110802,HUMAN PRESCRIPTION DRUG,DENTAL,PASTE,TRIAMCINOLONE ACETONIDE,1085728,F446C597KA
ANDA209218,ANDA,QILU ANTIBIOTICS,CEFTRIAXONE SODIUM,CEFTRIAXONE SODIUM,Apotex Corp.,Prescription,,,,AP,SUPPL,STANDARD,2022,20220113,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,CEFTRIAXONE SODIUM,309090,023Z5BR09K
ANDA091487,ANDA,ONESOURCE SPECIALTY,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HCL,Xellia Pharmaceuticals USA LLC,Prescription,,,,AP,ORIG,,2011,20111018,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,BUPIVACAINE HYDROCHLORIDE,1724786,7TQO7W3VT8
ANDA076078,ANDA,FRESENIUS KABI USA,IFOSFAMIDE,IFOSFAMIDE,"Fresenius Kabi USA, LLC",Prescription,Alkylating Drug [EPC],,Alkylating Activity [MoA],AP,SUPPL,STANDARD,2024,20240819,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,IFOSFAMIDE,1791593,UM20QQM95Y
ANDA201619,ANDA,TORRENT,ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,Torrent Pharmaceuticals Limited,Prescription,,,,AP,SUPPL,STANDARD,2023,20230713,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ROSUVASTATIN CALCIUM,859419,83MVU38M7Q
ANDA091090,ANDA,GLENMARK PHARMS LTD,NORETHINDRONE ACETATE,NORETHINDRONE ACETATE,"Glenmark Pharmaceuticals Inc., USA",Prescription,,,,AP,ORIG,,2010,20100721,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,NORETHINDRONE ACETATE,1000405,9S44LIC7OJ
ANDA212845,ANDA,SOLARIS PHARMA CORP,CLINDAMYCIN PHOSPHATE AND TRETINOIN,CLINDAMYCIN PHOSPHATE AND TRETINOIN,Solaris Pharma Corporation,Prescription,Retinoid [EPC],Retinoids [CS],,AP,ORIG,STANDARD,2022,20220210,HUMAN PRESCRIPTION DRUG,TOPICAL,GEL,CLINDAMYCIN PHOSPHATE,882548,EH6D7113I8
ANDA213725,ANDA,SUN PHARM,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,"Sun Pharmaceutical Industries, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2021,20210604,HUMAN PRESCRIPTION DRUG,ORAL,"FOR SUSPENSION, DELAYED RELEASE",PANTOPRAZOLE SODIUM,763306,6871619Q5X
ANDA217563,ANDA,MICRO LABS,METOLAZONE,METOLAZONE,Micro Labs Limited,Prescription,Thiazide-like Diuretic [EPC],,,AP,ORIG,STANDARD,2024,20241106,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,METOLAZONE,197978,TZ7V40X7VX
ANDA074407,ANDA,FOUGERA PHARMS,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,Prescription,,,,AP,SUPPL,,2006,20060814,HUMAN PRESCRIPTION DRUG,TOPICAL,OINTMENT,CLOBETASOL PROPIONATE,861434,779619577M
ANDA078830,ANDA,PADAGIS US,SCOPOLAMINE TRANSDERMAL SYSTEM,SCOPOLAMINE TRANSDERMAL SYSTEM,Padagis Israel Pharmaceuticals Ltd,Prescription,Anticholinergic [EPC],,Cholinergic Antagonists [MoA],AP,SUPPL,STANDARD,2026,20260209,HUMAN PRESCRIPTION DRUG,TRANSDERMAL,SYSTEM,SCOPOLAMINE,226552,DL48G20X8X
ANDA075782,ANDA,CHARTWELL RX,VALPROIC ACID,VALPROIC ACID,"Chartwell Governmental & Specialty RX, LLC.",Prescription,Anti-epileptic Agent [EPC],,,AP,ORIG,,2000,20001222,HUMAN PRESCRIPTION DRUG,ORAL,SYRUP,VALPROIC ACID,1099687,614OI1Z5WI
ANDA071422,ANDA,PH HEALTH,DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,"Endo USA, Inc.",Discontinued,,,,AP,SUPPL,,1988,19880330,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,DOXEPIN HYDROCHLORIDE,1000064,3U9A0FE9N5
ANDA206261,ANDA,CARLSBAD,ACYCLOVIR,ACYCLOVIR,"Carlsbad Technology, Inc.",Prescription,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],,DNA Polymerase Inhibitors [MoA],AP,ORIG,STANDARD,2017,20170816,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,ACYCLOVIR,197310,X4HES1O11F
NDA202832,NDA,MEDEFIL INC,SODIUM CHLORIDE,SODIUM CHLORIDE,"Medefil, Inc.",Discontinued,,,,AP,SUPPL,UNKNOWN,2012,20120927,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,SODIUM CHLORIDE,727820,451W47IQ8X
ANDA208905,ANDA,SANDOZ,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,Sandoz Inc,Prescription,,,,AP,SUPPL,STANDARD,2020,20200722,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,PHENYLEPHRINE HYDROCHLORIDE,1232651,04JA59TNSJ
ANDA204106,ANDA,NOVAST LABS,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,BluePoint Laboratories,Prescription,,,,AP,SUPPL,STANDARD,2024,20240628,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",METOPROLOL SUCCINATE,866412,TH25PD4CCB
ANDA076817,ANDA,VISTA PHARMS,SULFAMETHOXAZOLE AND TRIMETHOPRIM,SULFAMETHOXAZOLE AND TRIMETHOPRIM,"Vista Pharmaceuticals, Inc.",Prescription,Dihydrofolate Reductase Inhibitor Antibacterial [EPC],Sulfonamides [CS],Dihydrofolate Reductase Inhibitors [MoA],AP,SUPPL,STANDARD,2022,20220916,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,SULFAMETHOXAZOLE,198334,AN164J8Y0X
NDA018484,NDA,PFIZER,ALPROSTADIL,PROSTIN VR PEDIATRIC,Pharmacia & Upjohn Company LLC,Prescription,Prostaglandin Analog [EPC],Prostaglandins [CS],Prostaglandin Receptor Agonists [MoA],AP,SUPPL,PRIORITY,1986,19860414,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,ALPROSTADIL,105467,F5TD010360
ANDA217068,ANDA,ASCENT PHARMS INC,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,"Camber Pharmaceuticals, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2024,20241025,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, CHEWABLE",LISDEXAMFETAMINE DIMESYLATE,1871456,SJT761GEGS
NDA216743,NDA,ZYDUS LIFESCIENCES,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,Zydus Lifesciences Limited,Prescription,Dipeptidyl Peptidase 4 Inhibitor [EPC],,Dipeptidyl Peptidase 4 Inhibitors [MoA],AP,ORIG,STANDARD,2023,20231103,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,METFORMIN HYDROCHLORIDE,861769,786Z46389E
BLA018780,BLA,LILLY,INSULIN HUMAN,HUMULIN R,Eli Lilly and Company,Over-the-counter,Insulin [EPC],Insulin [CS],,AP,SUPPL,,1991,19910312,HUMAN OTC DRUG,INJECTION,INJECTABLE,INSULIN HUMAN,311034,1Y17CTI5SR
ANDA079009,ANDA,HERITAGE,GLYBURIDE-METFORMIN HYDROCHLORIDE,GLYBURIDE-METFORMIN HYDROCHLORIDE,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,Prescription,Sulfonylurea [EPC],Sulfonylurea Compounds [CS],,AP,ORIG,,2009,20090603,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,GLYBURIDE,861743,786Z46389E
ANDA090325,ANDA,AUROBINDO PHARMA USA,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,Aurobindo Pharma Limited,Prescription,,,,AP,SUPPL,STANDARD,2020,20201221,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",BUPROPION HYDROCHLORIDE,993503,ZG7E5POY8O
ANDA217923,ANDA,AUROBINDO PHARMA LTD,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,Aurobindo Pharma Limited,Prescription,,,,AP,ORIG,STANDARD,2025,20250331,HUMAN PRESCRIPTION DRUG,ORAL,"FOR SUSPENSION, DELAYED RELEASE",PANTOPRAZOLE SODIUM,763306,6871619Q5X
NDA204026,NDA,BRISTOL,POMALIDOMIDE,POMALYST,Celgene Corporation,Prescription,Thalidomide Analog [EPC],,,AP,SUPPL,STANDARD,2016,20160630,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,POMALIDOMIDE,1369718,D2UX06XLB5
ANDA077042,ANDA,MYLAN,CITALOPRAM,CITALOPRAM,Mylan Pharmaceuticals Inc.,Prescription,,,,AP,SUPPL,STANDARD,2022,20220916,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,CITALOPRAM HYDROBROMIDE,200371,I1E9D14F36
ANDA217098,ANDA,PRINSTON INC,DOXYCYCLINE,DOXYCYCLINE,"Solco Healthcare US,LLC",Prescription,Tetracycline-class Drug [EPC],Tetracyclines [Chemical/Ingredient],,AP,ORIG,STANDARD,2025,20250127,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,DOXYCYCLINE,901399,N12000U13O
