application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
ANDA219677,ANDA,TARO,LAMOTRIGINE,LAMOTRIGINE,"Sun Pharmaceutical Industries, Inc.",Prescription,Anti-epileptic Agent [EPC],,Organic Cation Transporter 2 Inhibitors [MoA],AP,ORIG,STANDARD,2025,20251007,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, ORALLY DISINTEGRATING",LAMOTRIGINE,103968,U3H27498KS
ANDA215905,ANDA,JIANGSU HANSOH PHARM,AZACITIDINE,AZACITIDINE,Apotex Corp,Prescription,Nucleoside Metabolic Inhibitor [EPC],,Nucleic Acid Synthesis Inhibitors [MoA],AP,ORIG,STANDARD,2023,20230628,HUMAN PRESCRIPTION DRUG,"INTRAVENOUS, SUBCUTANEOUS",POWDER,AZACITIDINE,485246,M801H13NRU
ANDA207552,ANDA,AMNEAL PHARMS CO,FUROSEMIDE,FUROSEMIDE,Amneal Pharmaceuticals LLC,Prescription,Loop Diuretic [EPC],,,AP,ORIG,STANDARD,2016,20160720,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,FUROSEMIDE,1719286,7LXU5N7ZO5
ANDA203393,ANDA,FRESENIUS KABI USA,MELPHALAN HYDROCHLORIDE,MELPHALAN,"Fresenius Kabi USA, LLC",Prescription,,,,AP,ORIG,,2017,20171222,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,,311487,
ANDA213510,ANDA,GLAND,DOCETAXEL,DOCETAXEL,Gland Pharma Limited,Prescription,Microtubule Inhibitor [EPC],,,AP,ORIG,STANDARD,2021,20210701,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DOCETAXEL ANHYDROUS,1093280,699121PHCA
NDA022277,NDA,MERCK SHARP DOHME,TEMOZOLOMIDE,TEMODAR,Merck Sharp & Dohme LLC,Prescription,Alkylating Drug [EPC],,Alkylating Activity [MoA],AP,SUPPL,STANDARD,2010,20100426,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,TEMOZOLOMIDE,261288,YF1K15M17Y
ANDA080399,ANDA,PRASCO,DEXAMETHASONE,DEXAMETHASONE,Prasco Laboratories,Discontinued,Corticosteroid [EPC],,Corticosteroid Hormone Receptor Agonists [MoA],AP,ORIG,,1971,19711020,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,DEXAMETHASONE,197582,7S5I7G3JQL
ANDA203395,ANDA,SENTISS,BROMFENAC,BROMFENAC,ARMAS PHARMACEUTICALS INC.,Prescription,,,,AP,ORIG,,2014,20140122,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,BROMFENAC SODIUM,578018,8ECV571Y37
ANDA075305,ANDA,HIKMA,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,Hikma Pharmaceuticals USA Inc.,Prescription,,,,AP,SUPPL,,2008,20080204,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,HALOPERIDOL DECANOATE,859871,AC20PJ4101
ANDA060593,ANDA,SANALUZ,CYCLOSERINE,CYCLOSERINE,"Dr. Reddys Laboratories, Inc.",Prescription,,,,AP,SUPPL,,1991,19910919,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,CYCLOSERINE,197551,95IK5KI84Z
NDA220406,NDA,AVYXA HOLDINGS,LEUCOVORIN CALCIUM,VYKOURA,"Avyxa Pharma, LLC",Prescription,,,,AP,ORIG,STANDARD,2026,20260203,HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, INTRAVENOUS",SOLUTION,LEUCOVORIN CALCIUM,2104714,RPR1R4C0P4
ANDA209035,ANDA,STRIDES PHARMA,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,Strides Pharma Inc.,Prescription,,,,AP,ORIG,STANDARD,2017,20170609,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,AMANTADINE HYDROCHLORIDE,849395,M6Q1EO9TD0
ANDA218532,ANDA,TORRENT,NILOTINIB,NILOTINIB,Torrent Pharmaceuticals Limited,None (Tentative Approval),,,,AP,ORIG,STANDARD,2025,20251215,HUMAN PRESCRIPTION DRUG,,CAPSULE,NILOTINIB HYDROCHLORIDE MONOHYDRATE,746606,5JHU0N1R6K
ANDA202508,ANDA,NOVEL LABS INC,LEVONORGESTREL,LEVONORGESTREL,"Novel Laboratories, Inc.",Over-the-counter,Progestin [EPC],Progesterone Congeners [CS],,AP,SUPPL,STANDARD,2014,20140319,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,LEVONORGESTREL,483325,5W7SIA7YZW
ANDA204750,ANDA,AUROBINDO PHARMA LTD,VALGANCICLOVIR HYDROCHLORIDE,VALGANCICLOVIR HYDROCHLORIDE,NorthStar Rx LLC,Prescription,,,,AP,SUPPL,STANDARD,2020,20200312,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,VALGANCICLOVIR HYDROCHLORIDE,313566,4P3T9QF9NZ
NDA020981,NDA,SANDOZ,TOPOTECAN,HYCAMTIN,Sandoz Inc,Prescription,,,,AP,SUPPL,N/A,2008,20080905,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,TOPOTECAN HYDROCHLORIDE,747193,956S425ZCY
NDA217628,NDA,CARWIN PHARM ASSOC,CLOTRIMAZOLE,CLOTIC (CLOTRIMAZOLE) OTIC SOLUTION,"Carwin Pharmaceutical Associates, LLC",Prescription,Azole Antifungal [EPC],Azoles [CS],,AP,ORIG,PRIORITY,2025,20250926,HUMAN PRESCRIPTION DRUG,OTIC,SOLUTION/DROPS,CLOTRIMAZOLE,2725165,G07GZ97H65
ANDA040784,ANDA,XGEN PHARMS,ACETAZOLAMIDE,ACETAZOLAMIDE,"XGen Pharmaceuticals DJB, Inc.",Prescription,,,,AP,ORIG,,2008,20081210,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,ACETAZOLAMIDE SODIUM,307702,429ZT169UH
ANDA204613,ANDA,ALTAIRE PHARMS INC,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HCL OPHTHALMIC,Altaire Pharmaceuticals Inc.,Prescription,,,,AP,ORIG,STANDARD,2018,20180503,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,CIPROFLOXACIN HYDROCHLORIDE,309307,4BA73M5E37
NDA205433,NDA,PULMOFLOW INC,TOBRAMYCIN,TOBRAMYCIN INHALATION SOLUTION PAK,"Genericus, Inc.",Prescription,Aminoglycoside Antibacterial [EPC],Aminoglycosides [CS],,AP,SUPPL,STANDARD,2023,20230410,HUMAN PRESCRIPTION DRUG,INHALATION,SOLUTION,TOBRAMYCIN,348719,VZ8RRZ51VK
ANDA210384,ANDA,SOMERSET THERAPS LLC,PILOCARPINE HYDROCHLORIDE OPHTHALMIC SOLUTION,PILOCARPINE HYDROCHLORIDE,"Somerset Therapeutics, LLC",Prescription,,,,AP,ORIG,STANDARD,2019,20191125,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,PILOCARPINE HYDROCHLORIDE,1000647,0WW6D218XJ
ANDA075143,ANDA,BARR,HYDROXYUREA,HYDROXYUREA,"Teva Pharmaceuticals USA, Inc.",Discontinued,Antimetabolite [EPC],Urea [CS],,AP,SUPPL,,2000,20000921,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,HYDROXYUREA,197797,X6Q56QN5QC
ANDA211324,ANDA,CADILA PHARMS LTD,RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,Modavar Pharmaceuticals LLC,Prescription,,,,AP,ORIG,STANDARD,2020,20200818,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,RALOXIFENE HYDROCHLORIDE,1490065,4F86W47BR6
ANDA212779,ANDA,ANI PHARMS,POTASSIUM CITRATE,POTASSIUM CITRATE,"ANI Pharmaceuticals, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2022,20220408,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",POTASSIUM CITRATE,199381,EE90ONI6FF
ANDA071265,ANDA,ADAPTIS,IBUPROFEN,IBUPROFEN,Contract Pharmacal Corp.,Discontinued,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,SUPPL,,1987,19870121,HUMAN OTC DRUG,ORAL,TABLET,IBUPROFEN,310965,WK2XYI10QM
ANDA209953,ANDA,ALKEM LABS LTD,RANOLAZINE,RANOLAZINE,"Ascend Laboratories, LLC",Prescription,Anti-anginal [EPC],,Cytochrome P450 3A Inhibitors [MoA],AP,ORIG,STANDARD,2020,20201130,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",RANOLAZINE,616749,A6IEZ5M406
ANDA018659,ANDA,MYLAN,ALLOPURINOL,ALLOPURINOL,Mylan Pharmaceuticals Inc.,Prescription,Xanthine Oxidase Inhibitor [EPC],,Xanthine Oxidase Inhibitors [MoA],AP,SUPPL,,1988,19880122,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ALLOPURINOL,197319,63CZ7GJN5I
